jobId,employerId,hourlyRate,startTime,endTime,daysToWork,educationRequirement
34,386,21.12480604,23:00.0,23:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
35,386,30.31803114,17:00.0,17:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
36,386,15.09544115,37:00.0,37:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
37,386,10,38:00.0,38:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
38,386,10.95024197,55:00.0,55:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
39,386,33.21557283,39:00.0,39:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
40,386,10,06:00.0,06:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
41,386,22.14913425,27:00.0,27:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
42,387,15.1605733,12:00.0,12:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
43,387,10,41:00.0,41:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
44,387,30.68671134,46:00.0,46:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
45,387,10,00:00.0,00:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
46,388,16.08500061,07:00.0,07:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
47,388,17.27550459,04:00.0,04:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
48,388,19.93699879,17:00.0,17:00.0,"[Tuesday,Friday,Saturday,Thursday,Monday]",HighSchoolOrCollege
49,388,20.9148351,31:00.0,31:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
50,388,40.31703284,33:00.0,33:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
51,388,10.96884979,57:00.0,57:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
52,388,16.9794187,41:00.0,41:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
53,389,12.97849429,56:00.0,56:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
54,389,10.94286685,45:00.0,45:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
55,389,20.32173311,05:00.0,05:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
56,389,11.3660394,28:00.0,28:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
57,389,45.37532343,24:00.0,24:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
58,389,10,54:00.0,54:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
59,390,10,06:00.0,06:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
60,390,10.80347885,12:00.0,12:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
61,390,14.90686549,26:00.0,26:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
62,390,31.66387305,43:00.0,43:00.0,"[Thursday,Friday,Monday,Tuesday,Saturday]",Graduate
63,391,10,36:00.0,36:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
64,391,15.82508512,50:00.0,50:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
65,391,10,34:00.0,34:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
66,392,28.76266996,57:00.0,57:00.0,"[Thursday,Tuesday,Friday,Wednesday,Sunday]",HighSchoolOrCollege
67,392,23.31706248,22:00.0,22:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
68,392,22.19673816,59:00.0,59:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
69,393,24.21787985,18:00.0,18:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
70,393,10,09:00.0,09:00.0,"[Sunday,Monday,Friday,Tuesday,Thursday]",Low
71,393,46.65581662,39:00.0,39:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
72,393,10.35675954,48:00.0,48:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
73,393,10,47:00.0,47:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
74,393,10,06:00.0,06:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
75,394,10,28:00.0,28:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
76,394,64.28110936,55:00.0,55:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
77,395,10,56:00.0,56:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
78,395,21.59820492,01:00.0,01:00.0,"[Wednesday,Tuesday,Monday,Thursday,Saturday]",HighSchoolOrCollege
79,395,36.55724811,14:00.0,14:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
80,395,25.4182925,52:00.0,52:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
81,396,22.70419643,06:00.0,06:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
82,396,25.5556063,04:00.0,04:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
83,396,18.39061465,45:00.0,45:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
84,396,19.21708162,22:00.0,22:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
85,396,29.02317645,06:00.0,06:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
86,396,10,55:00.0,55:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
87,396,12.10155555,09:00.0,09:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
88,396,10,32:00.0,32:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
89,397,10.16880357,01:00.0,01:00.0,"[Saturday,Friday,Thursday,Wednesday,Sunday]",HighSchoolOrCollege
90,397,14.72767694,43:00.0,43:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
91,397,15.05775364,33:00.0,33:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
92,397,10,22:00.0,22:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
93,397,13.37102573,36:00.0,36:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
94,397,13.95833699,00:00.0,00:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
95,397,31.67978462,39:00.0,39:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
96,397,10,23:00.0,23:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
97,398,11.71502792,36:00.0,36:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
98,398,29.56355041,57:00.0,57:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
99,398,28.67414674,38:00.0,38:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
100,398,18.24245786,48:00.0,48:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
101,399,10,24:00.0,24:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
102,399,18.64015779,19:00.0,19:00.0,"[Friday,Tuesday,Monday,Wednesday,Saturday]",HighSchoolOrCollege
103,399,10.33263183,38:00.0,38:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
104,399,10,34:00.0,34:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
105,399,10,08:00.0,08:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
106,399,10,14:00.0,14:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
107,399,12.26778286,00:00.0,00:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
108,399,11.24544007,55:00.0,55:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
109,399,34.79881705,22:00.0,22:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
110,400,16.56088317,58:00.0,58:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
111,400,15.25942632,41:00.0,41:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
112,400,28.54893791,58:00.0,58:00.0,"[Tuesday,Sunday,Wednesday,Monday,Thursday]",HighSchoolOrCollege
113,401,11.25456194,36:00.0,36:00.0,"[Tuesday,Sunday,Saturday,Monday,Wednesday]",Low
114,401,21.24255637,34:00.0,34:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
115,401,27.7409999,57:00.0,57:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
116,401,10,35:00.0,35:00.0,"[Saturday,Thursday,Tuesday,Sunday,Monday]",HighSchoolOrCollege
117,401,11.02886316,26:00.0,26:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
118,401,10,05:00.0,05:00.0,"[Sunday,Monday,Tuesday,Saturday,Thursday]",Low
119,401,15.90857358,36:00.0,36:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
120,401,24.1572602,03:00.0,03:00.0,"[Monday,Thursday,Sunday,Wednesday,Friday]",Bachelors
121,402,19.58731885,59:00.0,59:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
122,402,10,33:00.0,33:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
123,402,12.85244132,20:00.0,20:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
124,402,10,40:00.0,40:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
125,402,15.86073134,18:00.0,18:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
126,403,10,27:00.0,27:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
127,403,22.10833603,25:00.0,25:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
128,403,19.44140255,06:00.0,06:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
129,403,16.72233494,14:00.0,14:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
130,403,16.54644692,46:00.0,46:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
131,403,27.42903576,26:00.0,26:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
132,403,14.62730657,17:00.0,17:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
133,404,14.14186608,29:00.0,29:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
134,404,12.97167186,19:00.0,19:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
135,405,10,36:00.0,36:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
136,405,13.53929593,20:00.0,20:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
137,405,10,37:00.0,37:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
138,405,14.57147924,05:00.0,05:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
139,405,39.88502934,48:00.0,48:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
140,405,20.25095473,23:00.0,23:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
141,405,24.83217217,11:00.0,11:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
142,406,19.67987736,41:00.0,41:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
143,406,12.06765028,04:00.0,04:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
144,406,10,40:00.0,40:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
145,406,10,16:00.0,16:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
146,406,11.87121806,31:00.0,31:00.0,"[Tuesday,Monday,Sunday,Friday,Wednesday]",HighSchoolOrCollege
147,406,22.15782087,38:00.0,38:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
148,406,10,45:00.0,45:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
149,406,11.99225338,11:00.0,11:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
150,406,25.29164528,28:00.0,28:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
151,407,10.12524121,57:00.0,57:00.0,"[Monday,Wednesday,Friday,Thursday,Saturday]",Graduate
152,407,13.89334192,24:00.0,24:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
153,407,12.87021059,49:00.0,49:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
154,407,21.76595927,07:00.0,07:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
155,408,32.8701291,22:00.0,22:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
156,408,17.90179862,35:00.0,35:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
157,408,20.33824997,01:00.0,01:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
158,408,52.52986838,51:00.0,51:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
159,408,32.50100503,31:00.0,31:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
160,408,10,34:00.0,34:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
161,408,25.39164824,36:00.0,36:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
162,408,14.5148474,39:00.0,39:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
163,409,11.93544121,53:00.0,53:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
164,409,10,25:00.0,25:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
165,409,10,04:00.0,04:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
166,409,23.98418718,51:00.0,51:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
167,409,11.56763729,29:00.0,29:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
168,409,10.94767356,59:00.0,59:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
169,410,36.62755126,56:00.0,56:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
170,410,10,35:00.0,35:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
171,410,21.64691015,34:00.0,34:00.0,"[Friday,Monday,Saturday,Thursday,Tuesday]",Bachelors
172,410,16.0602716,24:00.0,24:00.0,"[Wednesday,Friday,Tuesday,Monday,Thursday]",HighSchoolOrCollege
173,410,15.97772778,55:00.0,55:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
174,411,27.75018062,06:00.0,06:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
175,411,10,15:00.0,15:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
176,411,10,09:00.0,09:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
177,411,49.10268587,20:00.0,20:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
178,411,11.85173511,32:00.0,32:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
179,411,10,48:00.0,48:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
180,412,10,55:00.0,55:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
181,412,10,27:00.0,27:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
182,412,12.35116384,51:00.0,51:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
183,412,11.13167191,37:00.0,37:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
184,412,11.11063408,49:00.0,49:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
185,412,10,22:00.0,22:00.0,"[Sunday,Tuesday,Wednesday,Friday,Saturday]",Low
186,413,10,44:00.0,44:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
187,413,11.56660771,39:00.0,39:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
188,413,11.87645633,37:00.0,37:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
189,413,31.27552311,27:00.0,27:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
190,413,34.33539182,08:00.0,08:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
191,413,21.14235956,43:00.0,43:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
192,413,14.78196419,02:00.0,02:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
193,414,32.92036199,04:00.0,04:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
194,414,30.5114404,30:00.0,30:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
195,414,31.48805395,46:00.0,46:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
196,414,13.22529229,56:00.0,56:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
197,414,13.43881215,47:00.0,47:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
198,414,10,43:00.0,43:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
199,414,10,06:00.0,06:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
200,414,22.18354952,23:00.0,23:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
201,415,12.54666765,36:00.0,36:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
202,415,43.44584439,49:00.0,49:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
203,415,18.64465159,16:00.0,16:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
204,415,10,30:00.0,30:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
205,415,32.71086631,52:00.0,52:00.0,"[Sunday,Tuesday,Saturday,Thursday,Friday]",Bachelors
206,415,51.01456977,51:00.0,51:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
207,416,34.59272913,36:00.0,36:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
208,416,15.90146493,46:00.0,46:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
209,416,17.90761706,31:00.0,31:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
210,416,23.99947245,15:00.0,15:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
211,416,10.77941864,47:00.0,47:00.0,"[Friday,Tuesday,Saturday,Wednesday,Thursday]",Low
212,416,82.98374609,06:00.0,06:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
213,416,10.30066369,34:00.0,34:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
214,417,27.82786272,29:00.0,29:00.0,"[Friday,Monday,Thursday,Wednesday,Tuesday]",HighSchoolOrCollege
215,417,13.79433128,10:00.0,10:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
216,417,10,30:00.0,30:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
217,417,19.11550852,33:00.0,33:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
218,418,10,55:00.0,55:00.0,"[Monday,Wednesday,Friday,Thursday,Sunday]",Low
219,418,18.18255984,49:00.0,49:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
220,418,17.75100963,08:00.0,08:00.0,"[Monday,Thursday,Friday,Wednesday,Saturday]",HighSchoolOrCollege
221,418,10,05:00.0,05:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
222,418,29.64439324,21:00.0,21:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
223,418,11.07706975,58:00.0,58:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
224,418,20.36243211,36:00.0,36:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
225,419,19.50950312,40:00.0,40:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
226,419,21.61601771,36:00.0,36:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
227,420,13.24827243,47:00.0,47:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
228,420,10,01:00.0,01:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
229,420,11.97363835,23:00.0,23:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
230,420,13.07795916,56:00.0,56:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
231,420,11.05912006,58:00.0,58:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
232,421,18.09380957,19:00.0,19:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
233,421,26.41976098,25:00.0,25:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
234,421,28.68324977,25:00.0,25:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
235,421,12.24913899,07:00.0,07:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
236,421,13.70369857,01:00.0,01:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
237,422,10,30:00.0,30:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
238,422,10,15:00.0,15:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
239,422,10.89062916,56:00.0,56:00.0,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
